UWW_LINEUP,MinutesOnCourt,UWW_PTS_SCORED,OPP_PTS_SCORED,UWW_PLUS_MINUS,UWW_ASST_TURN,UWW_REBOUNDING
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;QUAST,JAKE;VERGES,ISAAC",1.86,7,4,3,0,-2
"BARKER,JAMEER;BARNSTABLE,MILES;HOYTINK,JT;PYTLESKI,WILL;QUAST,JAKE",1.81,2,5,-3,0,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH",1.8,3,3,0,-1,1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",1.8,2,5,-3,1,-3
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;BEREZOWITZ,JOEY;CHISLOM,TREVON;LAMBERT,ELIJAH",1.77,6,2,4,0,2
"BARKER,JAMEER;CHISLOM,TREVON;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",1.76,5,0,5,1,2
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",1.74,6,8,-2,2,0
"BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;HOYTINK,JT;KELLEY,JAMES",1.67,4,6,-2,-1,2
"BARNSTABLE,DELVIN;CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES;VERGES,ISAAC",1.5699999999999998,0,2,-2,-1,1
"CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH;VERGES,ISAAC",1.49,5,3,2,2,2
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES",1.48,4,0,4,0,-3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",1.34,4,5,-1,1,1
"BEREZOWITZ,JOEY;HOYTINK,JT;MADSON,COLLIN;PYTLESKI,WILL;QUAST,JAKE",1.34,2,0,2,0,3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;HOYTINK,JT;LAMBERT,ELIJAH",1.32,3,0,3,-1,1
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",1.3199999999999998,3,0,3,1,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",1.28,2,2,0,0,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES;LAMBERT,ELIJAH",1.17,3,2,1,0,-2
"CHESTNUT,DARIUS;LUKENBILL,JR;LYNCH,TRISTIAN;MADSON,COLLIN;MARINO,BROCK",1.09,3,0,3,0,3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT",0.96,0,0,0,0,0
"BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;HOYTINK,JT;KELLEY,JAMES",0.8200000000000001,2,2,0,-2,1
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",0.77,0,0,0,-1,0
"BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES;PYTLESKI,WILL;VERGES,ISAAC",0.72,2,0,2,0,-1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",0.7,3,4,-1,1,-1
"BARNSTABLE,MILES;CHISLOM,TREVON;KELLEY,JAMES;PYTLESKI,WILL;VERGES,ISAAC",0.63,2,0,2,1,2
"CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",0.6,0,2,-2,0,-1
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;VERGES,ISAAC",0.5800000000000001,3,2,1,1,0
"BARNSTABLE,MILES;FISHER,DREW;LAMBERT,ELIJAH;PYTLESKI,WILL;VERGES,ISAAC",0.55,3,0,3,0,1
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",0.38,0,2,-2,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;BEREZOWITZ,JOEY;CAPSTRAN,CARTER;FISHER,DREW",0.35,0,0,0,-1,0
"BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH;LUKENBILL,JR",0.35,3,0,3,0,0
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES",0.27,0,2,-2,0,0
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW",0.27,0,0,0,0,-1
"BARNSTABLE,DELVIN;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",0.18,0,1,-1,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES",0.16,1,0,1,0,-1
"BARKER,JAMEER;BARNSTABLE,MILES;FISHER,DREW;HOYTINK,JT;VERGES,ISAAC",0.15,2,0,2,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH",0.0,0,2,-2,0,0
"LUKENBILL,JR;MCCRAY,CLIFF;PYTLESKI,WILL;QUAST,JAKE;VERGES,ISAAC",0.0,1,0,1,0,0
